2020-07-18 15:10:27	[Main thread]	WARN	CatalogueExport	3	Cohort table not found, will skip analyses 1700 and 1701
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 401 (Number of condition occurrence records, by condition_concept_id) -- START
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 401 (0.094309 secs)
2020-07-18 15:10:29	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 405 (Number of condition occurrence records, by condition_concept_id by condition_type_concept_id) -- START
2020-07-18 15:10:30	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 405 (0.194858 secs)
2020-07-18 15:10:30	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 501 (Number of records of death, by cause_concept_id) -- START
2020-07-18 15:10:30	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 501 (0.069533 secs)
2020-07-18 15:10:30	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 502 (Number of persons by death month) -- START
2020-07-18 15:10:30	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 502 (0.029840 secs)
2020-07-18 15:10:30	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 506 (Distribution of age at death by gender) -- START
2020-07-18 15:10:30	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 506 (0.111897 secs)
2020-07-18 15:10:30	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 600 (Number of persons with at least one procedure occurrence, by procedure_concept_id) -- START
2020-07-18 15:10:30	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 600 (0.102705 secs)
2020-07-18 15:10:30	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 601 (Number of procedure occurrence records, by procedure_concept_id) -- START
2020-07-18 15:10:30	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 601 (0.077796 secs)
2020-07-18 15:10:30	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 604 (Number of persons with at least one procedure occurrence, by procedure_concept_id by calendar year by gender by age decile) -- START
2020-07-18 15:10:30	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 604 (0.199191 secs)
2020-07-18 15:10:30	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 700 (Number of persons with at least one drug exposure, by drug_concept_id) -- START
2020-07-18 15:10:30	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 700 (0.062477 secs)
2020-07-18 15:10:30	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 701 (Number of drug exposure records, by drug_concept_id) -- START
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 701 (0.151996 secs)
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 705 (Number of drug exposure records, by drug_concept_id by drug_type_concept_id) -- START
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 705 (0.057919 secs)
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 800 (Number of persons with at least one observation occurrence, by observation_concept_id) -- START
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 800 (0.039433 secs)
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 801 (Number of observation occurrence records, by observation_concept_id) -- START
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 801 (0.029014 secs)
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 805 (Number of observation occurrence records, by observation_concept_id by observation_type_concept_id) -- START
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 805 (0.037236 secs)
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 1800 (Number of persons with at least one measurement occurrence, by measurement_concept_id) -- START
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 1800 (0.047633 secs)
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 1801 (Number of measurement occurrence records, by measurement_concept_id) -- START
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 1801 (0.046162 secs)
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 1805 (Number of measurement occurrence records, by measurement_concept_id by measurement_type_concept_id) -- START
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 1805 (0.037180 secs)
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 2101 (Number of device exposure records, by device_concept_id) -- START
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 2101 (0.022385 secs)
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 2105 (Number of device exposure records, by device_concept_id by device_type_concept_id) -- START
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 2105 (0.031239 secs)
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	Analysis 2201 (Number of note records, by note_type_concept_id) -- START
2020-07-18 15:10:31	[Main thread]	INFO	CatalogueExport	catalogueExport	[Main Analysis] [COMPLETE] 2201 (0.021654 secs)
2020-07-18 15:10:32	[Main thread]	INFO	CatalogueExport	catalogueExport	Merging scratch Achilles tables
2020-07-18 15:10:32	[Main thread]	INFO	CatalogueExport	catalogueExport	Done. Achilles results can now be found in schema prijnbeek
2020-07-18 15:10:34	[Main thread]	INFO	CatalogueExport	exportResultsToCSV	Querying catalogue_results
2020-07-18 15:10:35	[Main thread]	INFO	CatalogueExport	catalogueExport	Done. The exported database characteristic can now be found here: output/catalogue_results.csv
2020-07-18 15:10:35	[Main thread]	INFO	CatalogueExport	catalogueExport	This file can now be uploaded in the Database Catalogue
